name,function,category,subcategory,code_url,resource_url,description,language
GTFS.org,Producing Data,GTFS,GTFS Courses,https://github.com/google/transit,https://gtfs.org,The community-driven open standard for rider-facing transit information.,EN
"MobilityData - ""Understanding GTFS: An intro and overview""",Producing Data,GTFS,GTFS Courses,,https://www.youtube.com/watch?v=SDz2460AjNo,"This video provides an overview of of the General Transit Feed Specification (GTFS) and why it is useful for transit agencies, riders, and policymakers.",EN
"World Bank - ""Intro. to GTFS"" online course",Producing Data,GTFS,GTFS Courses,,https://olc.worldbank.org/content/introduction-general-transit-feed-specification-gtfs-and-informal-transit-system-mapping,,EN
Open Transit Data Toolkit,Producing Data,GTFS,GTFS Courses,,http://transitdatatoolkit.com/,,EN
ArcGIS - Introduction to GTFS,Producing Data,GTFS,GTFS Courses,,https://www.youtube.com/watch?v=8OQKHhu1VgQ&t=148s,This video talks about the basic components of GTFS data and how it relates to maps and the ArcGIS workflows we’ll be talking about in this video series.,EN
GTFS-books,Producing Data,GTFS,GTFS Courses,https://github.com/MobilityData/GTFS-books,,"This repository contains the source for the following two books:

The Definitive Guide to GTFS (2014), 
The Definitive Guide to GTFS-realtime (2015)",EN
MBTA GTFS Onboarding,Producing Data,GTFS,GTFS Courses,,https://mybinder.org/v2/gh/mbta/gtfs_onboarding/main?urlpath=lab/tree/GTFS_Onboarding.ipynb,With Jupyter Notebook,EN
"Planetizen ""Building a Transit Map Web App"" course",Producing Data,GTFS,GTFS Courses,,https://courses.planetizen.com/course/building-transit-map-app,"This course examines the entire process of building an interactive, web-based mapping application.",EN
Google Transit Developers,Producing Data,GTFS,GTFS Consumer App Guidance,,https://developers.google.com/transit/gtfs/,Google documentation overview ,EN
Transit app Guidelines for Producing GTFS Static Data,Producing Data,GTFS,GTFS Consumer App Guidance,,https://resources.transitapp.com/article/458-guidelines-for-producing-gtfs-static-data-for-transit,"Producing GTFS doesn’t have to be a headache! By following a few guidelines, you can make sure that your GTFS data is represented in Transit (and other apps) as intended, and that you’re always providing public transit riders with the best, clearest, and most up-to-date information possible.",EN
Bing Maps Transit - Add your transit data to Bing Maps,Producing Data,GTFS,GTFS Consumer App Guidance,,https://www.bing.com/maps/transitcontentproviders,,EN
Yandex Maps - Transport integration,Producing Data,GTFS,GTFS Consumer App Guidance,,https://yandex.ru/support/m-maps/transport.html?lang=en#connect-display,,EN
CGTFS,Producing Data,GTFS,GTFS Libraries - C,https://github.com/rakhack/cgtfs,,C library to read GTFS feeds,EN
RRRR Rapid Real-time Routing,Producing Data,GTFS,GTFS Libraries - C,https://github.com/bliksemlabs/rrrr,,RRRR rapid real-time routing,EN
